Order.Transport.Stop.Latest,Order.Transport.Stop.Latest,"DateTime ISO 8601 inkl. UTC (yyyy-MM-dd'T'HH:mm:ss.SSSX.
Beispiel: 2017-06-13T13:00:00.000Z)",,,
Order.Transport.Stop.Reference,Order.Transport.Stop.Reference,,,,
Order.Transport.Stop.mot,Order.Transport.Stop.mot,Means of Transport,,,
Order.Destination.Vessel,Order.Destination.Vessel,,,,
Order.Destination.Seaport.Name,Order.Destination.Seaport.Name,,,,
Order.Destination.Location.Name,Order.Destination.Location.Name,,,,
Order.Destination.Location.Country,Order.Destination.Location.Country,,,,
Order.Destination.Location.City,Order.Destination.Location.City,,,,
MeansOfTransportationStatus,VerkehrsmittelProzessstatus,,,,
MoT.ATD,VM.Abfahrt,VM ATD,,,
MoT.ETA,VM.Avisiert,VM ETA,,,
MoT.ATA,VM.Ankunft,bspw. Zugeingang Krangleis,,,
MoT.HandlingStart,VM.BS,Bereitstellung / Bearbeitungsstart,,,
MoT.HandlingEnd,VM.BE,Ladeschluss,,,
,WTU,,,,
,Verlassen,VM ATD,,,
StatusLU,StatusLE,,,,
StatusLU.free,StatusLE.verladebereit,LE frei,,,
StatusLU.out,StatusLE.verladen,LE out,,,
StatusLU.inspectionIn,StatusLE.Eingangskontrolle,LE Eingang bestätigt,,,
StatusLU.condition,StatusLE.Zustand,Zustand --> Aktion?,,,
StatusLU.in,StatusLE.entladen,LE In,,,
,LE_verladebereit,?,,,
,LE_verladen,?,,,
StatusLU.inspectionOut,StatusLE.Ausgangskontrolle,LE Ausgang bestätigt,,,
